generation	transect	b	p_beta	lrt_p_value
89	4	-0.050471202	0.501619302	0.501689354
90	1	-0.018123424	0.801929221	0.801940388
90	2	0.002959728	0.967627581	0.967623637
90	3	0.03613956	0.619780572	0.619796935
90	4	-0.060048509	0.402904251	0.40297387
91	1	-0.029207145	0.689807751	0.68979632
91	2	0.018263185	0.804357625	0.804369043
91	3	0.059397675	0.415338789	0.41542691
91	4	-0.017038485	0.810501328	0.810509206
92	1	-0.049835285	0.49335589	0.493433077
92	2	-0.039365566	0.586757076	0.586768487
92	3	0.015694324	0.828049708	0.828044966
92	4	0.024979362	0.732343897	0.732336587
93	1	-0.040365245	0.575728352	0.575754463
93	2	-0.041716144	0.568472897	0.568494642
93	3	-0.052928211	0.463993653	0.46408556
93	4	0.010757163	0.885643749	0.885644952
94	1	0.04527179	0.53677363	0.536792484
94	2	-0.067142137	0.369750434	0.36983787
94	3	0.010847712	0.882000628	0.882002262
94	4	0.00236063	0.974669312	0.97466944
95	1	-0.023387562	0.745422975	0.745433114
95	2	-0.014830618	0.838621883	0.838627427
95	3	-0.005273124	0.943934341	0.943934713
95	4	-0.074256902	0.311086796	0.311153675
96	1	-0.038050087	0.598561471	0.598569481
96	2	-0.028552285	0.698745467	0.698800729
96	3	0.060903745	0.413930263	0.414003475
96	4	-0.033688395	0.651433075	0.651431413
97	1	0.034157977	0.636819701	0.63684131
97	2	0.018362251	0.805988392	0.805988394
97	3	0.043714266	0.553612357	0.553635554
97	4	-0.010213372	0.890424255	0.890426002
98	1	-0.042607587	0.559897019	0.559916435
98	2	0.05179701	0.482259362	0.482297485
98	3	0.090409428	0.218858509	0.219046587
98	4	-0.032199443	0.663026187	0.6630423
99	1	0.003196298	0.965679889	0.965675856
99	2	-0.023032487	0.749082401	0.74908023
99	3	-7.55E-04	0.991777241	0.991776277
99	4	-0.010087046	0.890906434	0.890907746
100	1	-0.018095027	0.808769301	0.808776597
100	2	-0.054009311	0.46420996	0.464290698
100	3	0.039412459	0.59144126	0.591438397
100	4	0.01727284	0.812239291	0.812246508
101	1	-0.089860723	0.230938398	0.23114016
101	2	-0.047597871	0.520374173	0.520419757
101	3	0.011266692	0.874913477	0.874901081
101	4	0.053729748	0.447945067	0.447972608
102	1	0.009901577	0.896638934	0.896651748
102	2	-0.043759911	0.558858097	0.558848948
102	3	-0.028317379	0.694884775	0.694898121
102	4	0.071703424	0.326833438	0.326862252
103	1	0.023019978	0.764686484	0.764683432
103	2	0.010269832	0.892824352	0.892821765
103	3	-0.011615021	0.875404384	0.875408164
103	4	-0.01539319	0.832850404	0.832849753
104	1	0.029595206	0.701886637	0.701913046
104	2	-0.025566606	0.738008046	0.738013343
104	3	0.008752162	0.906431064	0.906434779
104	4	0.043985244	0.568512066	0.568561611
105	1	0.009402239	0.905012728	0.905011316
105	2	0.007924864	0.916770829	0.916773825
105	3	0.009864869	0.895320982	0.895318403
105	4	0.007497975	0.920461601	0.920461551
106	1	-0.036575815	0.633348419	0.633361185
106	2	-0.037738503	0.621452599	0.621474969
106	3	0.022322044	0.769520461	0.76950529
106	4	0.014665022	0.848372984	0.848371786
107	1	-0.001323067	0.986751809	0.986750258
107	2	0.004795065	0.95002121	0.950021363
107	3	-0.062733533	0.409778476	0.409841912
107	4	0.042376446	0.576797173	0.576821765
108	1	-0.074222526	0.343882187	0.343979304
108	2	0.029044847	0.700894285	0.700908971
108	3	-0.01004426	0.895725388	0.895702092
108	4	0.012082265	0.874341598	0.874342762
109	1	0.046485905	0.553878062	0.553905405
109	2	0.008742481	0.908733031	0.908732994
109	3	0.060409043	0.418021845	0.418036202
109	4	-0.084969477	0.271359617	0.271423881
110	1	0.022951795	0.773243193	0.773242244
110	2	0.012652779	0.86833025	0.868334367
110	3	0.035778425	0.642660946	0.642645032
110	4	-0.036366192	0.639789645	0.639812558
111	1	-0.030788331	0.698323626	0.698340024
111	2	-0.003037798	0.968251827	0.968250451
111	3	0.024275959	0.755175097	0.755165565
111	4	-0.005645095	0.941922939	0.941923452
112	1	-0.095401902	0.253014015	0.253136868
112	2	-0.005185289	0.948441727	0.948662074
112	3	-0.037516334	0.620245855	0.62026829
112	4	-0.025493175	0.741917936	0.741938457
113	1	-0.042149062	0.599687284	0.599692213
113	2	0.02579656	0.74076568	0.740775768
113	3	0.015885547	0.836371599	0.836370528
113	4	0.001449002	0.985345919	0.985330285
114	1	-0.024893099	0.760393707	0.760404631
114	2	0.03290378	0.67866302	0.678677996
114	3	-0.058080976	0.454308494	0.4543554
114	4	0.01497469	0.85075358	0.850764749
115	1	-0.053295101	0.521238942	0.52126877
115	2	-0.058602588	0.461694852	0.461692052
115	3	-0.068753257	0.388018667	0.388067708
115	4	-0.035371169	0.657649784	0.657657317
116	1	-0.024896847	0.761050815	0.761057605
116	2	0.022778566	0.779496536	0.779471686
116	3	-0.019227727	0.809475824	0.809486723
116	4	-0.048700465	0.547834281	0.547892986
117	1	-0.015829358	0.848311282	0.848312852
117	2	-0.021578404	0.787517133	0.787528058
117	3	-0.012602666	0.876363818	0.876364488
117	4	-0.007751898	0.924402735	0.924402928
118	1	-0.016657791	0.836592955	0.836591305
118	2	-0.015003356	0.850588484	0.850586656
118	3	0.012154106	0.878846593	0.878857315
118	4	-0.006950548	0.931223399	0.931223204
119	1	-0.005869249	0.943140316	0.943140886
119	2	-0.094709638	0.244970657	0.24503072
119	3	0.079063819	0.328779217	0.328897008
119	4	-0.028166619	0.732443864	0.732463466
120	1	-0.052676398	0.521830544	0.521852607
120	2	0.026127631	0.748509201	0.748511605
120	3	0.092468539	0.249721001	0.249844445
120	4	-0.035897417	0.664753117	0.664784503
121	1	-0.07208685	0.380874443	0.380931297
121	2	0.026638221	0.744511259	0.744518663
121	3	0.063919874	0.444570306	0.444622081
121	4	-0.02014031	0.805575576	0.805580004
122	1	-0.064996881	0.428076524	0.428136853
122	2	0.010723891	0.895937112	0.895935231
122	3	-0.00658225	0.936867462	0.936857924
122	4	0.033133415	0.690744692	0.690746463
123	1	-0.031903578	0.699395926	0.699409213
123	2	0.046856563	0.565703177	0.565723566
123	3	0.074876513	0.36068857	0.360735369
123	4	0.106809633	0.192263123	0.192395376
124	1	-0.025965866	0.752813194	0.752817027
124	2	0.076050537	0.349230138	0.349301365
124	3	0.006546609	0.936622987	0.936622792
124	4	-0.034531818	0.682846323	0.682857436
125	1	-0.069880504	0.400446024	0.400449839
125	2	0.025233445	0.752783028	0.75277858
125	3	0.016522801	0.842446179	0.842439589
125	4	6.48E-04	0.99390788	0.993938408
126	1	-0.062908179	0.451077214	0.451092521
126	2	0.051831691	0.523127008	0.523180521
126	3	0.070566165	0.389501681	0.389520757
126	4	-0.093771869	0.259436918	0.25948545
127	1	-0.021384823	0.795642865	0.795657084
127	2	0.001074346	0.989620931	0.989621424
127	3	0.073392665	0.369875363	0.369885239
127	4	-0.071623803	0.396646564	0.396697979
128	1	0.005742811	0.944890157	0.944890655
128	2	-0.014632562	0.860515729	0.860516066
128	3	0.045519645	0.576439063	0.576422927
128	4	-0.042142539	0.615501761	0.615517484
129	1	-0.032908098	0.692392441	0.692399909
129	2	-0.025551059	0.758554407	0.758562816
129	3	0.025169777	0.7601488	0.760151706
129	4	0.033475589	0.692799027	0.69280863
130	1	0.024205937	0.771326708	0.771327016
130	2	0.005137471	0.951169191	0.95116928
130	3	0.059093304	0.47693362	0.476933074
130	4	-0.025125811	0.761670326	0.761670808
131	1	-0.010557294	0.900043308	0.900043309
131	2	-0.007134637	0.931049171	0.931039363
131	3	0.052338126	0.5288348	0.528851385
131	4	0.012870993	0.879503604	0.879504293
132	1	-0.006416191	0.939617757	0.939595333
132	2	-0.050874213	0.544475806	0.544523484
132	3	0.044098897	0.596098277	0.596090455
132	4	0.005443498	0.947825952	0.947825815
133	1	-0.017840433	0.833320133	0.833315912
133	2	-0.03241218	0.695422714	0.695429471
133	3	-0.022632491	0.789565872	0.789559312
133	4	0.037370889	0.651708653	0.651722207
134	1	0.028832739	0.731184155	0.731272677
134	2	0.003855005	0.962158926	0.962163332
134	3	0.048145626	0.561681891	0.561682502
134	4	-0.006179053	0.941547352	0.941533676
135	1	0.066703634	0.422425186	0.422467536
135	2	-0.005699376	0.945365887	0.945365983
135	3	0.047599433	0.562370453	0.562382801
135	4	0.003712128	0.964513899	0.964513916
136	1	0.045857001	0.58258738	0.582631034
136	2	-0.0347952	0.673374463	0.673374277
136	3	-0.056914251	0.494792968	0.494814447
136	4	0.016934796	0.838850988	0.838850001
137	1	0.037987178	0.654314428	0.654330835
137	2	0.037012835	0.652777018	0.652794039
137	3	-0.012054317	0.884693701	0.884683048
137	4	0.007433645	0.929632427	0.929632682
138	1	-0.039929273	0.634995472	0.635003481
138	2	0.006184835	0.939164175	0.939164309
138	3	-0.002944666	0.971806426	0.971807328
138	4	-0.021790486	0.797981951	0.797975498
139	1	-0.012874928	0.878165794	0.878185678
139	2	-0.008792011	0.914177969	0.914178527
139	3	0.017659912	0.832026251	0.832011373
139	4	0.037987784	0.648349321	0.648379593
140	1	-0.055501274	0.517112614	0.517132453
140	2	0.008783769	0.916494381	0.916494409
140	3	0.016735195	0.841648162	0.841647463
140	4	0.079303509	0.339800041	0.339896198
141	1	-0.011081341	0.897138512	0.897137813
141	2	0.059900379	0.46925594	0.469303104
141	3	-0.05096142	0.539449637	0.539494295
141	4	0.020970713	0.809859162	0.809868232
142	1	-0.014339525	0.866668774	0.866668528
142	2	0.076137204	0.371248557	0.371304699
142	3	0.01328386	0.874065908	0.874062311
142	4	0.021437884	0.801236445	0.801267369
143	1	0.011028614	0.89734461	0.897342465
143	2	0.077129392	0.350753767	0.350828062
143	3	-0.029775379	0.72815667	0.728178287
143	4	-0.023405499	0.78456598	0.784558836
144	1	-0.00790485	0.926203929	0.92620187
144	2	0.077714402	0.360245056	0.36030647
144	3	0.029651197	0.735152877	0.735150595
