generation	transect	bl	bh	b	N	nsig	p
57	4	-1.017213711	0.849700737	0.013006734	100	6	0.06
58	1	-1.041975404	1.038362718	0.036150712	100	2	0.02
58	2	-0.760363636	0.764927508	0.016452519	100	2	0.02
58	3	-1.014440633	0.898039433	0.024332389	100	3	0.03
58	4	-1.556484832	0.83969749	-0.004378754	100	4	0.04
59	1	-0.778404987	0.934733834	0.012782597	100	3	0.03
59	2	-0.830656661	0.982577751	-0.06724255	100	3	0.03
59	3	-0.90198315	1.017651822	-0.095350493	100	3	0.03
59	4	-0.931742812	1.029701485	0.024056789	100	4	0.04
60	1	-1.134817622	1.023589088	0.021793151	100	3	0.03
60	2	-1.108864455	0.959268218	0.051479195	100	6	0.06
60	3	-1.006150126	1.132550714	-0.069845967	100	6	0.06
60	4	-0.733637545	1.706896532	0.056024716	100	2	0.02
61	1	-1.029323956	0.890199611	0.005317219	100	5	0.05
61	2	-1.049457096	0.97601094	-0.061752291	100	2	0.02
61	3	-1.01164032	1.178782884	0.045864443	100	2	0.02
61	4	-0.917220228	0.88872561	0.088554117	100	4	0.04
62	1	-1.069112888	0.949564191	0.057423316	100	3	0.03
62	2	-1.167857665	1.183358537	0.014697595	100	4	0.04
62	3	-1.189358634	1.064864585	-0.044023783	100	3	0.03
62	4	-0.828432291	0.989495524	0.001592102	100	5	0.05
63	1	-1.240965363	0.897815984	-0.028556928	100	5	0.05
63	2	-0.866889086	1.895604158	0.160579324	100	2	0.02
63	3	-1.084136951	1.048086941	-0.071886016	100	3	0.03
63	4	-0.974556109	0.844286736	-0.070159323	100	4	0.04
64	1	-1.291069363	1.155332109	-0.159923017	100	8	0.08
64	2	-0.81692826	1.432584101	0.013157115	100	2	0.02
64	3	-0.929309061	1.171420219	-0.036278907	100	4	0.04
64	4	-0.953441937	0.919036875	5.69E-04	100	3	0.03
65	1	-1.220787174	0.97952399	0.021436959	100	3	0.03
65	2	-0.895683844	0.700872134	0.103015107	100	3	0.03
65	3	-1.070305116	0.839610154	-0.021382217	100	4	0.04
65	4	-0.841504859	1.017764587	-0.033810016	100	2	0.02
66	1	-0.738919139	0.868850003	-0.004369439	100	3	0.03
66	2	-0.988439997	0.899754785	-0.028282672	100	1	0.01
66	3	-1.098468484	0.928664216	-0.060888949	100	6	0.06
66	4	-1.17465798	0.961058307	0.010553264	100	2	0.02
67	1	-0.961666667	0.948452417	0.02961165	100	4	0.04
67	2	-0.834331695	0.880557418	-0.003322461	100	2	0.02
67	3	-1.057532806	0.828363903	0.044297684	100	4	0.04
67	4	-1.074552906	1.536125341	-0.001128372	100	4	0.04
68	1	-0.934065672	0.900051057	-0.028713059	100	3	0.03
68	2	-0.749782876	1.112747961	0.035555824	100	9	0.09
68	3	-0.845015583	1.23701368	0.102210642	100	1	0.01
68	4	-1.049381029	0.896138861	-0.098118975	100	4	0.04
69	1	-0.899274088	0.989463569	-0.038764782	100	3	0.03
69	2	-1.011475211	0.869532855	-0.077230387	100	3	0.03
69	3	-1.100167022	0.887956307	0.002428018	100	4	0.04
69	4	-1.018681418	1.126285739	0.005801524	100	7	0.07
70	1	-1.033922048	1.191005539	-0.012070604	100	5	0.05
70	2	-1.017734915	0.728823919	0.091153958	100	5	0.05
70	3	-0.887458335	0.946321426	-0.084054127	100	4	0.04
70	4	-1.241838468	1.220935391	-0.02559716	100	3	0.03
71	1	-0.877104502	1.243108744	-0.026295424	100	7	0.07
71	2	-0.836722188	1.508765942	0.033114716	100	5	0.05
71	3	-0.88748786	1.030570632	-0.038801253	100	3	0.03
71	4	-1.007175488	0.856590283	-0.015063117	100	3	0.03
72	1	-0.896410054	1.90203243	0.021805613	100	3	0.03
72	2	-0.781240795	0.939707462	0.127388875	100	5	0.05
72	3	-1.018230313	0.937751983	-0.059533019	100	3	0.03
72	4	-1.130964043	0.92613536	0.001459458	100	6	0.06
73	1	-0.752179308	1.05645127	0.055813905	100	2	0.02
73	2	-0.793365166	0.959798958	0.088090192	100	2	0.02
73	3	-0.993287893	0.845258998	0.052846914	100	7	0.07
73	4	-0.949966119	0.84952892	-0.058073671	100	4	0.04
74	1	-0.963809764	0.969355708	-0.054951837	100	7	0.07
74	2	-1.085964712	1.05400668	-0.034095886	100	9	0.09
74	3	-1.026621885	1.708769079	-0.014895006	100	4	0.04
74	4	-1.061137007	0.938312908	-0.04758141	100	4	0.04
75	1	-0.99946223	0.910435657	-0.044727965	100	6	0.06
75	2	-1.035899114	1.152798963	0.017931824	100	6	0.06
75	3	-0.893762406	1.003476556	0.030834012	100	1	0.01
75	4	-0.976550749	0.991692473	0.074504346	100	4	0.04
76	1	-0.900693016	0.997679282	-0.042776942	100	5	0.05
76	2	-0.854066435	1.083569764	-0.035373272	100	8	0.08
76	3	-0.805899804	1.024500403	0.095057014	100	6	0.06
76	4	-0.772683777	0.776944295	0.031406922	100	2	0.02
77	1	-1.00013658	0.911502898	0.009455064	100	3	0.03
77	2	-0.768793603	0.923922178	-0.09147574	100	1	0.01
77	3	-1.10473789	0.91291473	0.097517977	100	4	0.04
77	4	-0.937032268	1.433651249	0.041697306	100	5	0.05
78	1	-0.897835129	0.75766132	0.034079921	100	3	0.03
78	2	-1.191828515	0.955450425	-0.062533025	100	8	0.08
78	3	-0.813672322	0.843913026	0.125164578	100	4	0.04
78	4	-1.055008782	0.795239583	0.042248441	100	2	0.02
79	1	-0.801651254	0.68311502	-0.031176844	100	2	0.02
79	2	-1.228370706	1.432281939	0.009936242	100	5	0.05
79	3	-1.019703033	1.012394842	0.089213839	100	11	0.11
79	4	-1.050403093	0.903895947	-0.101765831	100	11	0.11
80	1	-0.843164406	1.058938699	0.065170922	100	5	0.05
80	2	-0.868195942	0.795327252	-0.01170592	100	2	0.02
80	3	-0.792580607	0.899850064	0.061708609	100	0	0
80	4	-0.97625308	0.880051673	-0.04468613	100	0	0
81	1	-1.161082848	0.76085176	-0.101167029	100	4	0.04
81	2	-0.809097166	0.977300422	-0.004678611	100	4	0.04
81	3	-0.773200467	1.181274242	-0.021326398	100	4	0.04
81	4	-1.019819128	0.952882257	-0.120049746	100	7	0.07
82	1	-0.934035814	1.253340545	0.014931183	100	4	0.04
82	2	-0.874014689	0.981478069	0.033072298	100	7	0.07
82	3	-1.027350146	1.350049944	-0.049619372	100	5	0.05
82	4	-1.195295412	0.626746341	-0.109133408	100	8	0.08
83	1	-1.04008241	0.693349566	0.023666999	100	4	0.04
83	2	-0.8575764	0.971454191	0.002556971	100	6	0.06
83	3	-0.928810589	1.124577067	0.085601498	100	6	0.06
83	4	-1.05456901	0.787884039	-0.089617072	100	5	0.05
84	1	-0.987546563	0.890088986	-0.004515806	100	4	0.04
84	2	-1.080415407	1.090847446	0.099344625	100	6	0.06
84	3	-0.835937708	1.147573675	-0.057807173	100	3	0.03
84	4	-0.863173971	1.020152552	-0.012186481	100	5	0.05
85	1	-0.813886662	0.754425282	0.044086868	100	3	0.03
85	2	-0.834164112	0.952666211	0.01984222	100	4	0.04
85	3	-0.829056303	1.039423991	0.119359895	100	3	0.03
85	4	-1.067634268	1.252866808	0.069059687	100	7	0.07
86	1	-0.889519429	1.5408625	0.023000002	100	3	0.03
86	2	-1.36104026	0.992855043	0.065108748	100	4	0.04
86	3	-0.809916864	0.891773617	0.074929947	100	4	0.04
86	4	-1.071856537	0.926006933	-6.61E-04	100	7	0.07
87	1	-0.959016954	1.07006208	-0.073402946	100	5	0.05
87	2	-1.125029367	1.421416493	0.066604649	100	5	0.05
87	3	-0.84450807	1.144643984	0.082554794	100	5	0.05
87	4	-1.174758112	0.86854851	-0.026413999	100	6	0.06
88	1	-0.860475112	0.771430357	0.01633118	100	6	0.06
88	2	-0.9514195	0.894398802	-0.054430012	100	2	0.02
88	3	-1.637403805	1.352698333	0.00963728	100	5	0.05
88	4	-1.795568726	0.976527515	-0.072219317	100	5	0.05
89	1	-1.055959221	0.809699512	-0.087008882	100	3	0.03
89	2	-1.044507107	0.872939302	0.059635159	100	3	0.03
89	3	-0.798339797	1.366169785	0.132944093	100	6	0.06
89	4	-1.010370865	0.98315126	-0.034901447	100	7	0.07
90	1	-0.930224258	0.994383838	-9.53E-04	100	6	0.06
90	2	-0.924415066	0.803483404	-0.072752367	100	1	0.01
90	3	-0.849736699	1.503949953	0.019927442	100	3	0.03
90	4	-1.125206382	0.751345095	-0.053738419	100	5	0.05
91	1	-1.227299104	0.835786326	0.015554664	100	5	0.05
91	2	-0.963041495	1.053382676	0.058383272	100	4	0.04
91	3	-1.186785759	1.006411794	0.120605414	100	6	0.06
91	4	-0.989323957	1.202537039	0.017360392	100	5	0.05
92	1	-0.978655948	0.950558257	-0.042841792	100	7	0.07
92	2	-0.922791092	0.76357218	-0.053143697	100	5	0.05
92	3	-0.976695061	1.357530268	0.055976336	100	4	0.04
92	4	-1.102290596	1.150004418	-0.00491769	100	8	0.08
93	1	-1.108094933	0.88440888	0.002194687	100	8	0.08
93	2	-1.070495008	0.930290509	-0.07446131	100	4	0.04
93	3	-0.818314395	0.900172027	-0.038213777	100	3	0.03
93	4	-0.889976066	0.950665347	0.033667556	100	6	0.06
94	1	-1.077341929	1.199457397	0.011312235	100	8	0.08
94	2	-1.088195764	1.152137921	-0.108414642	100	11	0.11
94	3	-0.958397253	0.878183944	0.043284196	100	2	0.02
94	4	-1.162527937	1.177110216	0.060649345	100	12	0.12
95	1	-1.148459619	0.702352788	0.011624417	100	2	0.02
95	2	-1.054799288	0.958016114	0.024216345	100	7	0.07
95	3	-1.168087601	0.970081791	-0.042306071	100	12	0.12
95	4	-1.138207773	0.976320801	-0.139858128	100	3	0.03
96	1	-1.020160245	0.684179324	-0.028511914	100	5	0.05
96	2	-0.977996376	1.72592601	0.054623574	100	8	0.08
96	3	-0.901703126	1.246186135	0.020352825	100	9	0.09
96	4	-1.440105741	0.777757322	-0.045646383	100	1	0.01
97	1	-0.926769703	0.825629109	0.03789745	100	4	0.04
97	2	-0.890818743	1.000887573	-0.018746839	100	7	0.07
97	3	-0.998597366	1.288142106	0.067498749	100	6	0.06
97	4	-0.762601515	0.819014699	-0.131123287	100	2	0.02
98	1	-1.010970168	0.964343812	-0.071181661	100	9	0.09
98	2	-0.849554686	1.073375073	0.085103724	100	3	0.03
98	3	-0.679886025	1.036783949	0.070617409	100	5	0.05
98	4	-1.06850537	1.102393242	-0.080546354	100	2	0.02
99	1	-0.95404256	0.965180252	0.080532588	100	4	0.04
99	2	-0.978719599	0.98424583	-0.02264547	100	4	0.04
99	3	-0.888063567	0.800810527	0.012052988	100	5	0.05
99	4	-0.934775602	1.108433702	-0.025067626	100	5	0.05
100	1	-1.137311324	0.762595334	0.016886235	100	7	0.07
100	2	-0.916454517	0.77437655	-0.040564175	100	5	0.05
100	3	-0.913402489	1.347605657	0.02181338	100	6	0.06
100	4	-1.000253186	1.135747881	0.033087381	100	8	0.08
101	1	-1.157044121	1.006450253	-0.098333698	100	5	0.05
